"","GSM748796","GSM748797","GSM748798","GSM748799","GSM748800","GSM748801","GSM748802","GSM748803","GSM748804","GSM748805","GSM748806","GSM748807","GSM748808","GSM748809","GSM748810","GSM748811","GSM748812","GSM748813","GSM748814"
"1637146_at",6.04859403070662,6.57264050357521,5.11843385922302,6.22514927185877,8.30525474539812,6.94788237282122,7.29643494701092,7.37433388680729,6.91153003516021,5.63600112625342,5.82681551825667,5.67989718916246,6.96794907668038,6.36629523256071,6.71192869565589,9.61511723211447,9.37176219276931,9.86317247725749,9.94111547554903
"1638385_at",4.03190440931681,7.17032703110377,5.81039385815497,5.9573496765704,3.14997392514346,4.17953591022752,4.21252544876975,7.82961642857586,7.71198248801615,6.179597400838,6.39694956609027,6.72657933168032,6.22965663640886,4.77176857388404,6.17717566222424,7.1905620124789,6.85486289924975,5.65762093209616,6.82142345486168
"1632978_at",7.00846842570638,9.24537563292873,7.1404972876805,9.10887446896892,6.46159205778904,5.9560627197101,6.60743782393838,8.50314653837316,9.50185768998377,6.90793961293873,6.7401316174625,7.283457952052,6.59603352541992,6.40417721058687,6.71404598352625,5.82251123488353,5.93329256842756,5.15378911063932,5.7475244061729
"1626074_at",6.84530197595231,6.08916414746273,6.690161686346,6.46053841653836,7.91528756427185,7.96964928692098,6.11549187861775,7.53156871224581,6.26713931589125,6.61183525397736,6.87684416726318,6.83832172235809,7.07681540142265,7.66144477838821,7.15129706780871,10.25094208418,10.2279970090104,11.1742151561373,11.828717451808
"1628259_at",4.36858705804391,4.65002292475975,6.33250360466435,4.8830079066394,7.16686590476089,5.68806373366262,5.44200059194706,4.69972247403665,4.93718344131689,4.73037056417424,5.33725036097103,5.23377522450015,5.9043373015766,5.96568726728098,6.21713552483152,5.74239818147381,5.6350081559823,5.35715908174932,6.49766623975636
"1623477_at",5.73318679341667,6.60887873706225,6.30496240101666,7.02859915485833,4.52996125940565,6.53250977504856,3.92441188559125,4.70014503151402,4.60844044992039,7.64935737937441,7.51201825174315,8.33365268483236,9.51839847498326,8.91393580600956,9.49085490006105,4.49150696494496,4.31748006686414,8.55496025306364,6.76507479305805
"1627978_at",6.0033833249246,5.15731646136805,9.86742432169567,5.74188063706438,7.70809525554317,8.27221336460233,6.27056336282242,8.06679120186429,6.93317533848154,7.4221658458871,7.97189559628896,6.67012635294708,8.17507074059703,11.7333166808375,7.57513296267701,9.95840975988519,9.96989054431468,9.61266824291906,10.3732805232721
"1638145_at",4.01771861793228,4.05391131060691,4.21167497488929,3.68342882592416,3.86076165474507,4.15238465522406,3.98064903767408,3.35815154373353,3.88704255762829,8.10890036947148,8.24759435551558,8.52606139957814,7.77824192267852,5.85991463230555,7.84874297023654,6.73378390396561,7.20527546388039,5.5252336464283,6.06353150095977
"1633130_at",6.63646638859109,4.52129931681251,8.79409141756642,6.16038481022226,5.2895297429887,6.58680730316164,6.04678148259142,3.94372719970566,5.09393599946005,5.7983041742671,5.61949216755329,5.60260751399381,6.32859282609504,7.09945984282744,5.93614547542197,4.87015487972527,4.7866438916173,5.12442680482911,4.94894600262544
"1627274_at",7.66777325414706,7.62401560057269,8.56237266588069,7.45584281062857,7.71550672343985,6.99598604369349,8.13690349462139,8.08829697446363,8.03673656367638,8.87799137539741,9.03615489794366,9.2758603391913,9.44764814182845,8.0472783934755,9.23936009559471,8.29183726447516,8.47349101829998,8.26387367839807,7.99528044103061
"1636181_at",6.54541776886356,4.14155323407495,5.56527237999739,4.90406836798406,3.14668404433671,3.47336880296741,4.65115203807254,3.62937349944813,3.36925008717877,6.88466023873882,7.02291920574627,6.91358281143262,7.49191840312737,6.20069022812431,7.16500440242607,5.3290487912984,3.28689861139308,4.88417698946567,3.1785803588258
"1626092_at",5.57049801233227,6.07147696388199,5.67245324559589,5.97988841696618,3.97903257933285,4.28031715282094,4.31277301521974,4.2359517345832,4.79327626170908,6.51047484993091,6.13765606620812,6.84734800866113,5.70916736539055,4.69369482658239,5.88220461930007,3.64633307070494,4.31742754657401,4.43869615302538,4.55425338582163
"1636194_s_at",4.59413592185821,3.95488198271266,6.16764949119552,5.30378048494508,5.61375247867636,5.77262642039987,6.11267779777997,6.5452433819926,5.835410012626,4.50531444219397,4.07788176432503,4.16199766165262,5.70282861492464,5.17869178233143,5.25183446542969,5.62934736641237,6.58631334596364,7.22542052517861,7.64934551096526
